Hour,T1,T2,T3,O2,CO2,H2O,Action,Reward
9.333333333333334,31.53198,31.53198,31.53198,19.320019,0.056799814,0.5981638,0,-21.61649800498592
9.5,31.627995,31.627995,31.627995,19.274502,0.057254974,0.5981014,0,-22.125561435631514
9.666666666666666,31.723585,31.723585,31.723585,19.228357,0.05771642,0.5980381,0,-22.634500326418543
9.833333333333334,31.818756,31.818756,31.818756,19.181578,0.058184214,0.5979739,0,-23.143335193859418
10.0,31.796846,31.796846,31.796846,21.0,0.046926722,0.59784365,1,-5.140257407830126
10.166666666666666,31.927801,31.927801,31.927801,20.952728,0.047399428,0.5977788,0,-7.04406761004385
10.333333333333334,32.059124,32.059124,32.059124,20.904568,0.04788105,0.5977127,0,3.574677825141755
10.5,32.190845,32.190845,32.190845,20.855497,0.048371755,0.59764534,0,3.581581328520275
10.666666666666666,32.323006,32.323006,32.323006,20.805498,0.04887175,0.59757674,0,3.5892102589072565
10.833333333333334,32.45564,32.45564,32.45564,20.75455,0.049381215,0.5975069,0,3.597554228621056
11.0,32.58878,32.58878,32.58878,20.702637,0.049900364,0.5974358,0,3.6066024620464514
11.166666666666666,32.72246,32.72246,32.72246,20.649733,0.0504294,0.5973634,0,3.6163436776701054
11.333333333333334,32.856724,32.856724,32.856724,20.595818,0.05096854,0.5972898,0,3.1267659617830876
11.5,32.991592,32.991592,32.991592,20.54087,0.051518004,0.59721494,0,2.6378566330919613
11.666666666666666,33.1271,33.1271,33.1271,20.484869,0.05207803,0.59713876,0,2.1496020974413654
11.833333333333334,33.263287,33.263287,33.263287,20.427788,0.052648846,0.59706134,0,1.6619876918229464
12.0,33.400177,33.400177,33.400177,20.369602,0.053230707,0.5969826,0,1.1749975168232405
12.166666666666666,33.537804,33.537804,33.537804,20.310287,0.053823855,0.5969026,0,0.6886142566342808
12.333333333333334,33.67619,33.67619,33.67619,20.249817,0.054428563,0.5968213,0,0.20281898574140378
12.5,33.81537,33.81537,33.81537,20.188164,0.05504509,0.59673876,0,-0.2824090386085496
12.666666666666666,33.955364,33.955364,33.955364,20.1253,0.05567372,0.59665483,0,-0.7670925990490751
12.833333333333334,34.096203,34.096203,34.096203,20.0612,0.056314737,0.5965696,0,-1.2512567567245418
13.0,34.237904,34.237904,34.237904,19.995829,0.056968436,0.59648305,0,-1.7349291067523822
13.166666666666666,34.380497,34.380497,34.380497,19.92916,0.05763512,0.5963952,0,-2.2181400513110923
13.333333333333334,34.524,34.524,34.524,19.861162,0.058315106,0.59630597,0,-2.700923091075098
13.5,34.668427,34.668427,34.668427,19.791801,0.059008706,0.5962154,0,-3.183315135613524
13.666666666666666,34.813797,34.813797,34.813797,19.721046,0.05971626,0.5961235,0,-3.6653568332406303
13.833333333333334,34.96012,34.96012,34.96012,19.648863,0.060438097,0.5960303,0,-4.147092920632815
14.0,35.107414,35.107414,35.107414,19.575214,0.06117457,0.59593564,0,-4.6285725923147485
14.166666666666666,35.25568,35.25568,35.25568,19.500069,0.061926037,0.5958396,0,-5.109849889852951
14.333333333333334,35.404922,35.404922,35.404922,19.423386,0.06269286,0.5957422,0,-5.590984110280662
14.5,35.55515,35.55515,35.55515,19.34513,0.06347541,0.59564346,0,-6.072040232893077
14.666666666666666,35.706352,35.706352,35.706352,19.265266,0.064274065,0.59554327,0,-6.553089363101976
14.833333333333334,35.858524,35.858524,35.858524,19.18375,0.06508922,0.5954417,0,-7.034209191514101
15.0,36.011654,36.011654,36.011654,19.100546,0.06592126,0.59533864,0,-7.515484465785061
15.166666666666666,36.165726,36.165726,36.165726,19.015612,0.066770606,0.5952342,0,-7.997007472102084
15.333333333333334,36.320717,36.320717,36.320717,18.928907,0.067637645,0.59512836,0,-3.4788785223570518
15.5,36.476604,36.476604,36.476604,18.840391,0.0685228,0.59502107,0,-3.9612064421803552
